cgpa,internships,projects,aptitude,communication,placed
9.64,3,2,42.7,32.9,0
7.14,1,3,85.3,97.8,0
9.83,1,1,76.1,85.9,1
9.82,1,5,64.9,50.5,1
9.27,3,3,68.9,98.6,1
6.47,2,0,80.3,72.1,1
6.93,1,1,46.0,70.8,0
9.26,3,5,99.7,82.4,1
6.58,1,2,98.2,86.8,0
5.85,0,5,75.5,76.0,0
7.78,1,0,44.0,39.0,0
9.68,1,1,77.6,53.7,0
8.48,2,2,35.1,95.0,0
7.85,3,0,32.1,45.7,0
5.49,2,5,48.0,56.1,0
8.08,2,0,62.4,60.2,0
9.95,2,1,90.8,60.8,0
5.7,2,4,80.9,72.9,0
7.59,2,0,82.0,96.0,1
9.39,1,0,59.8,46.8,0
8.7,2,5,54.2,38.5,0
8.49,2,5,56.0,43.8,0
8.51,3,2,99.1,92.1,1
6.8,0,5,32.8,75.2,1
6.47,1,3,90.7,50.0,0
9.05,1,1,70.5,87.1,1
9.05,1,1,60.7,90.3,1
9.34,2,4,80.8,89.3,1
9.57,2,4,64.1,94.3,1
7.56,2,1,91.1,47.7,0
7.51,3,4,93.0,82.9,1
8.99,0,2,59.5,62.2,1
8.25,2,5,49.4,88.9,0
8.51,0,1,71.5,81.0,1
8.98,3,4,93.9,84.4,0
9.45,1,1,44.7,75.9,0
6.69,2,3,73.6,42.4,0
6.88,0,0,74.2,68.2,0
5.47,0,5,81.3,98.9,0
7.89,2,1,39.2,95.6,1
5.18,1,0,80.1,33.0,0
7.33,1,4,93.6,41.5,0
7.71,1,0,42.6,39.2,0
6.43,3,5,46.6,80.8,0
7.95,0,1,98.0,87.2,1
5.15,0,3,42.7,44.9,0
5.19,0,4,89.8,65.4,0
9.11,3,1,64.5,88.8,1
6.8,0,5,47.3,81.3,0
5.64,3,4,91.0,68.0,0
7.61,1,2,61.2,71.3,1
8.85,2,0,66.0,65.6,1
6.08,0,5,55.1,50.8,0
8.11,0,2,71.5,69.6,1
5.43,1,1,41.4,78.2,0
5.26,2,3,57.4,91.1,0
7.66,3,4,97.9,74.5,1
7.7,2,0,48.1,83.3,0
8.19,1,4,76.0,41.2,0
8.63,1,1,52.8,62.3,0
9.88,2,4,84.1,30.7,0
7.58,3,0,39.2,47.3,0
6.61,3,1,97.9,80.9,0
8.98,0,4,61.8,99.4,1
6.35,3,3,46.5,36.9,0
7.19,2,5,35.1,58.1,0
5.39,1,1,41.9,86.0,0
5.13,0,5,66.4,44.3,0
9.81,0,1,53.6,68.9,0
9.18,1,3,88.0,81.3,1
8.48,3,5,60.2,73.1,1
7.04,1,2,47.4,43.2,1
5.87,3,0,73.2,54.9,0
5.78,1,2,79.5,84.9,0
6.25,2,4,41.7,68.8,0
7.75,3,3,41.7,30.4,1
8.57,2,2,32.6,83.3,0
8.3,0,1,81.5,32.5,0
6.4,1,4,76.5,82.2,0
9.77,0,4,63.2,44.2,0
8.69,0,2,89.1,97.1,1
7.77,0,2,86.4,55.8,1
8.06,0,3,71.0,52.9,0
7.1,1,0,90.8,40.4,0
6.24,0,2,44.4,51.4,0
6.78,1,2,37.8,91.4,0
8.79,1,5,48.9,99.7,0
5.07,2,1,34.0,55.8,1
5.58,3,5,67.2,61.4,0
5.23,3,5,95.6,80.5,0
5.2,1,4,32.8,92.0,0
9.28,2,0,38.5,71.5,1
8.52,1,1,61.7,57.4,0
7.37,1,3,95.4,58.9,1
5.49,1,3,52.1,78.7,0
7.46,2,2,65.5,30.2,1
7.37,3,2,32.9,73.4,0
5.87,2,3,40.4,54.9,0
7.17,0,2,99.1,85.6,1
6.99,2,0,97.6,36.5,0
8.08,2,5,30.3,71.2,0
8.18,2,2,96.6,63.7,1
5.23,2,4,74.7,75.0,0
6.87,3,2,90.8,34.5,0
8.13,0,1,61.8,70.6,1
7.52,3,0,66.1,69.3,1
9.28,3,1,64.2,69.2,1
8.29,2,1,76.7,72.2,1
5.81,1,4,39.8,77.4,0
5.35,1,0,32.1,86.3,0
8.21,3,0,51.6,48.9,0
5.13,3,0,79.3,87.8,0
7.93,2,0,44.1,64.9,0
9.7,3,0,77.1,35.4,0
7.88,2,4,97.9,34.1,0
6.94,1,2,36.6,53.4,0
8.22,1,1,77.1,84.9,1
7.29,0,0,61.1,79.5,1
7.73,1,2,90.8,85.2,1
9.71,3,2,42.4,66.2,0
6.93,1,1,78.5,60.8,0
9.81,2,4,88.7,40.3,0
9.53,1,3,96.1,53.0,1
5.98,0,3,77.8,60.4,0
5.35,1,2,64.8,36.2,0
5.5,2,5,73.2,45.4,0
5.09,2,5,90.8,71.9,0
5.47,3,1,69.9,81.5,0
8.42,1,3,32.1,99.9,0
5.36,2,2,95.2,95.3,0
6.59,0,4,78.3,75.0,0
9.22,3,3,77.4,59.5,1
5.12,0,2,45.1,74.5,0
9.07,1,2,76.1,85.0,1
6.41,1,0,57.6,38.3,0
5.59,1,4,75.6,58.7,0
8.48,3,0,37.5,88.8,0
8.14,2,1,76.0,56.9,1
9.39,3,0,100.0,70.0,1
8.68,0,0,33.4,71.1,0
9.02,3,3,98.4,42.9,0
6.41,0,5,58.5,55.4,1
5.89,3,2,91.0,53.4,0
8.75,2,4,84.8,31.8,0
9.03,0,0,69.7,31.7,0
9.95,1,4,81.7,88.2,1
7.06,1,5,91.5,49.1,0
6.86,3,5,58.3,66.3,0
8.88,1,0,52.9,50.9,0
6.7,0,1,76.7,95.8,0
9.65,1,0,86.5,48.2,0
9.29,2,3,83.4,60.1,1
7.14,2,2,85.8,91.1,1
8.75,3,1,60.5,88.9,1
8.77,0,0,87.2,43.0,0
5.52,2,4,38.4,86.2,0
9.51,2,1,68.1,62.1,1
7.53,0,1,30.4,63.8,0
9.13,1,0,52.7,39.3,0
6.6,1,1,55.7,35.6,0
9.48,3,4,57.7,81.0,0
6.95,1,5,78.7,64.8,0
5.05,0,1,57.2,60.6,0
9.53,2,5,61.4,81.1,1
5.46,1,4,46.6,83.6,0
6.6,3,0,56.1,41.1,0
9.75,1,2,45.9,72.7,0
9.75,0,1,35.1,39.5,0
7.87,3,2,72.2,82.6,1
8.16,1,4,76.8,76.0,1
7.24,3,1,73.4,97.0,1
6.47,0,5,62.4,34.8,0
6.64,2,3,56.6,34.0,0
8.36,0,2,90.4,49.8,0
8.76,0,1,66.3,48.3,0
8.96,0,2,63.5,47.3,0
8.95,0,1,31.8,93.4,0
5.46,2,0,53.9,47.5,0
7.47,2,5,56.6,49.0,0
5.29,3,2,57.9,83.2,0
7.75,1,3,70.6,61.5,1
7.21,2,3,67.4,84.4,1
9.44,2,4,72.6,34.6,0
6.75,1,1,83.5,64.1,0
5.59,2,2,86.9,32.4,1
5.71,0,4,80.3,34.4,0
8.81,0,2,96.9,93.5,1
8.09,1,1,31.3,39.7,0
5.51,3,3,43.7,67.3,0
5.42,3,0,30.5,58.8,0
8.5,1,3,75.3,54.3,1
5.36,1,4,92.9,93.0,0
9.11,0,5,47.0,31.5,0
8.53,3,0,94.9,76.5,1
5.41,2,4,34.2,97.4,0
5.42,0,1,95.4,69.2,0
9.93,1,0,54.6,95.6,0
6.87,3,4,37.1,33.7,0
6.85,2,1,64.0,59.3,0
9.06,2,3,48.0,48.2,0
9.74,0,5,49.9,81.2,0
9.93,3,1,51.5,98.7,0
8.77,3,2,86.2,48.0,1
6.88,1,1,67.7,75.8,0
5.42,3,1,51.8,43.9,0
8.89,3,5,72.7,69.6,1
7.79,0,2,80.1,62.5,1
7.12,3,4,49.1,98.0,1
9.53,2,4,58.9,72.6,0
5.56,0,1,38.5,54.5,0
7.46,0,2,42.7,38.0,0
5.06,1,2,77.7,40.6,0
7.34,3,5,42.7,45.8,0
5.28,1,3,66.8,47.6,0
5.59,2,4,79.6,89.5,0
5.59,0,5,37.5,69.3,0
8.25,0,0,69.7,66.6,1
8.73,0,4,48.0,38.0,0
7.92,2,5,97.4,90.2,0
9.81,2,4,63.8,80.6,1
6.87,1,3,86.4,34.7,1
6.43,1,0,68.5,79.5,0
9.34,1,3,33.0,68.0,0
6.12,3,0,74.3,35.7,1
9.82,0,1,96.6,62.1,1
5.06,0,5,72.1,63.9,0
9.85,1,0,87.3,41.6,0
5.22,0,3,91.9,96.2,0
9.46,1,4,46.0,89.5,1
7.64,3,0,44.8,76.8,0
9.96,3,5,72.8,62.4,1
5.37,2,0,58.8,58.8,0
7.77,3,2,88.8,75.6,0
9.85,1,4,93.0,68.2,1
7.62,3,5,54.7,34.4,0
8.15,2,5,46.6,65.9,0
8.48,0,1,84.6,86.4,0
7.27,1,3,49.2,62.1,1
8.14,0,1,87.6,33.6,0
7.92,2,5,59.7,85.0,0
9.51,2,4,76.7,44.1,0
5.23,2,0,36.7,48.1,0
6.4,0,0,73.7,41.5,0
9.75,0,4,61.6,53.1,0
9.45,0,5,71.1,83.0,1
7.28,0,0,41.8,66.4,0
8.1,2,0,81.6,44.3,0
6.39,2,0,90.4,91.4,0
5.94,1,3,45.2,91.6,0
7.32,1,3,36.7,90.9,0
6.77,0,2,31.7,46.7,0
7.92,3,1,74.9,61.6,1
5.39,3,4,72.5,98.9,0
9.87,2,4,68.3,84.0,1
9.93,2,4,46.2,31.9,0
